pop_date,country,population
2011-01-01,wld,7004042402
2012-01-01,wld,7089048309
2013-01-01,wld,7174135279
2014-01-01,wld,7258995892
2015-01-01,wld,7343380299
2016-01-01,wld,7427157079
2017-01-01,wld,7510270208
2018-01-01,wld,7592641463
2019-01-01,wld,7674218669
2020-01-01,wld,7754954225
2021-01-01,wld,7834779420
2022-01-01,wld,7913638043
2023-01-01,wld,7991520040
2024-01-01,wld,8068434258
2025-01-01,wld,8144386957
